EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2026,2346,3,9448.92,111210129
2026,2716,3,1382.18,111210129
2026,241,3,499616.18,111220400
2026,243,3,789.32,111221700
2026,244,3,3624.0,111221500
2026,245,3,3576.0,111220900
2026,246,3,5532.0,111210129
2026,847,3,33000.0,111210131
2026,848,3,1690491.57,111210131
2026,888,3,6920.24,111210131
2026,1702,3,221036.48,111220400
2026,1718,3,5849.17,111210129
2026,151,3,55877.85,111210131
2026,1410,3,57120.0,111210129
2026,1415,3,10299.11,111221500
2026,1421,3,2181.82,111220100
2026,1423,3,132935.29,111220100
2026,1429,3,68642.89,111221700
2026,31,3,6499.99,111210129
2026,37,3,18557.54,111221500
2026,39,3,22751.9,111221500
2026,40,3,13883.5,111221500
2026,45,3,11353.7,111221500
2026,391,3,11792.0,111210129
2026,398,3,3080.0,111210129
2026,478,3,15738.0,111220900
2026,479,3,4520.0,111210129
2026,670,3,17423.25,111210129
2026,677,3,15400.0,111210129
2026,1057,3,6121750.57,111210129
2026,120,3,11974.82,111210129
2026,122,3,10769.0,111210129
2026,124,3,3554.0,111210129
2026,126,3,3165.0,111210129
2026,127,3,8600.0,111210129
2026,130,3,8218.61,111210129
2026,318,3,16528.89,111210128
2026,321,3,25890.0,111210129
2026,325,3,26380.12,111210129
2026,326,3,6870.0,111210129
2026,867,3,8600.0,111221500
2026,874,3,101474.38,111210127
2026,1723,3,90965.29,111210131
2026,1724,3,125455.08,111210131
2026,1771,3,194628.1,111220900
2026,1773,3,3021.48,111220900
2026,1796,3,77603.31,111222000
2026,2336,3,101768.99,111210129
2026,102,3,13600.7,111210129
2026,2569,3,2400.0,111210129
2026,452,3,1255.36,111210129
2026,908,3,30000.0,111210131
2026,1311,3,380347.11,111210131
2026,1312,3,38886.3,111210131
2026,532,3,14930.59,111210129
2026,534,3,14223.5,111210129
2026,535,3,13103.62,111210129
2026,2668,3,3595.52,111210129
2026,2082,3,3024.79,111210129
2026,2667,3,3594.88,111221700
2026,1435,3,5038.01,111220100
2026,682,3,768.0,111221700
2026,691,3,25797.56,111221500
2026,1595,3,14243.74,111210129
2026,315,3,33020.58,111210132
2026,327,3,99074.0,111210131
2026,330,3,138839.5,111210131
2026,1114,3,40020.0,111210131
2026,1827,3,195305.79,111210131
2026,2215,3,5940.5,111210129
2026,649,3,5986.77,111210129
2026,1399,3,289841.7,111210131
2026,1402,3,10137.51,111210131
2026,1682,3,60133.34,111210131
