EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,214,449,FAB,7004-68183330,50023,110,3,1,3,0,1110105000,50,0,0,24108.13
2026,214,449,FAB,7004-68183342,50023,110,3,1,3,0,1110105000,30,0,0,24689.71
2026,215,451,FAB,7004-68183322,50023,110,3,1,3,0,1110103000,1,0,0,43787.77
2026,216,451,FAB,7004-68183326,50023,110,3,1,3,0,1110103000,1,0,0,43787.77
2026,217,452,FAB,7004-68183322,50023,110,3,1,3,0,1110102000,1,0,0,43340.53
2026,219,453,FAB,7004-68183340,50023,110,3,1,3,0,1110106000,24,0,0,23125.71
2026,219,453,FAB,7004-68183341,50023,110,3,1,3,0,1110106000,25,0,0,37005.73
2026,220,454,FAB,7004-68183345,50023,132,3,1,3,0,1110105000,50,0,0,23829.12
2026,221,454,FAB,7004-68183349,50023,132,3,1,3,0,1110105000,50,0,0,23829.12
2026,222,455,FAB,7004-68183345,50023,110,3,1,3,0,1110200000,1,0,0,22343.52
2026,223,456,FAB,7004-68183318,50023,110,3,1,3,0,1110102000,1,0,0,26496.33
2026,223,456,FAB,7004-68183344,50023,110,3,1,3,0,1110102000,1,0,0,22967.81
2026,224,457,FAB,7004-68183346,50023,110,3,1,3,0,1110104000,16,0,0,102930.81
2026,225,458,FAB,7004-68183328,50023,110,3,1,3,0,1110104000,16,0,0,347129.16
2026,225,458,FAB,7004-68183350,50023,110,3,1,3,0,1110104000,16,0,0,38072.61
2026,225,458,FAB,7004-68183351,50023,110,3,1,3,0,1110104000,16,0,0,28208.26
2026,225,458,FAB,7004-68183480,50023,110,3,1,3,0,1110104000,16,0,0,26855.85
2026,226,459,FAB,7004-68183275,50023,110,3,1,3,0,1110102000,1,0,0,30884.92
2026,226,459,FAB,7004-68183323,50023,110,3,1,3,0,1110102000,1,0,0,21964.27
2026,227,162,FAC,0006-00000230,717,131,2,1,1,0,1110104000,16,0,0,117600.0
2026,227,162,FAC,0006-00000230,717,131,2,9,9,0,1110104000,16,0,0,15200.0
2026,228,136,FAC,0001-00000111,2843,132,5,1,4,0,1110106000,42,0,0,1785000.0
2026,229,461,COM,0000-00272100,51044,132,5,4,6,0,1110112000,1,0,0,2730667.0
2026,230,136,FAC,0001-00000099,2843,132,5,1,4,0,1110106000,42,0,0,1785000.0
2026,231,462,FAB,0007-02431803,2969,110,3,1,4,0,1110102000,1,0,0,116160.0
2026,232,463,FAB,2022-00001353,50003,110,3,7,2,0,1110102000,33,0,0,180000.0
2026,233,464,FAB,8173-96979396,50031,110,5,1,4,0,1110106000,24,0,0,310000.0
2026,234,500,FAB,2024-00000282,50072,110,3,8,9,0,1110102000,1,0,0,1565987.17
2026,235,503,FAB,0000-00000002,51093,110,3,4,9,0,1110117000,34,0,0,2653443.76
2026,236,246,COM,1240-00001101,33,131,3,5,4,0,1110111000,23,0,0,1602030.0
2026,237,507,COM,1240-00001102,33,110,3,5,4,0,1110106000,25,0,0,2221.58
2026,238,342,COM,1240-00001103,33,110,3,5,4,0,1110118000,35,0,0,408524.98
2026,239,385,COM,1240-00001104,33,110,3,5,4,0,1110103000,1,0,0,1004493.42
2026,240,287,COM,1240-00001105,33,110,3,5,4,0,1110104000,16,0,0,25861604.6
2026,241,508,FAB,8173-96979397,50031,110,5,1,4,0,1110106000,24,0,0,100000.0
2026,242,499,COM,1240-00001106,33,110,3,5,4,0,1110113000,32,0,0,198252.0
2026,244,541,COM,1000-10000000,50031,110,5,1,4,0,1110105000,50,0,0,300000.0
2026,245,236,TKT,0021-00100640,5,131,2,1,1,0,1110111000,23,0,0,1750.0
2026,246,393,TKT,0016-00366428,5,132,2,1,1,0,1110106000,24,0,0,39975.0
2026,247,235,TKT,0020-00218136,5,131,2,1,1,0,1110104000,16,0,0,68100.0
2026,248,600,FAB,2018-18242080,2525,110,5,1,7,0,1110102000,1,0,0,3000000.0
2026,249,602,FAB,2018-18242082,2525,131,5,1,7,0,1110113000,47,0,0,848618.27
2026,250,604,FAB,2022-00001354,50003,110,3,7,2,0,1110118000,35,0,0,360000.0
2026,251,605,FAB,2022-00001355,50003,110,3,7,2,0,1110113000,1,0,0,90000.0
2026,252,606,FAB,2022-00001356,50003,110,3,7,2,0,1110112000,1,0,0,90000.0
2026,254,272,FAC,0003-00000442,295,131,4,3,1,0,1110104000,16,0,0,600000.0
2026,255,608,FAB,0471-01001215,50036,110,3,1,4,0,1110102000,1,0,0,47321.89
2026,256,609,FAB,2022-00001357,50003,110,3,7,2,0,1110101000,1,0,0,90000.0
2026,257,99,FAB,0007-00011001,160,110,2,5,7,0,1110104000,17,0,0,83143.0
