EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER
2004,1,1391,1,1,1521,1,SERVICIO DE REMIS - DESCRIPCION SERVICIO DE REMIS.,1.0,105.0,1.0,105.0
2004,1,1392,1,1,1520,1,ALBAÑILERIA - ALBAÑILERIA colocacion de pintura asfaltica y dos rollos de membrana.,1.0,170.0,1.0,170.0
2004,1,1393,1,1,1519,1,PAN - TIPO CASERO - PRESENTACION GRANEL.,244.0,2.0,244.0,488.0
2004,1,1394,1,1,1512,1,SERVICIO DE FLETE - POR TRANSPORTE DE 179.60 TONELADAS DE POLVO DE PIEDRA DESDE MAR DEL PLATA A GRAL. MADARIAGA,179.6,17.0,179.6,3053.2
2004,1,1395,1,1,1524,1,NAFTA SUPER - 367.86 lts. TIPO SUPER - OCTANO 98 - PRESENTACION DEL SURTIDOR - DESTINO -,1.0,704.99,1.0,704.99
2004,1,1396,1,1,1028,1,"ALBAÑILERIA - POR EJECUCION DE 9 BASES, 9 COLUMNAS Y 4 VIGAS DE ENCADENADO DE HORMIGON, 480 M2 de mamposteria portante de 0.18 m ,120 M 2 DE MAMPOSTERIA DE 0.12 Y 80 M2 DE AISLACION HIDROFUGA.",1.0,22432.0,1.0,22432.0
2004,1,1397,1,1,1445,1,"OBRAS EN CONSTRUCCION - CUBIERTA DE CHAPA :CONSTRUCCION DE 9 VIGAS METALICAS RETICULADAS DE APROXIMADAMENTE 9.40 m. DE LONGITUD; COMPUESTA POR DOS CORDONES SUPERIORES Y DOS INFERIORES AMBOS CONFORMADOS POR HIERRO < 2"" X 3/16 ,Y LAS DIAGONALES POR HIERRO < 1"" X 1/4. UNO DE SUS EXTREMOS DEBERA ESTAR PREPARADO PARA SER VINCULADO A LA COLUMNA DE HIERRO EXISTENTE Y EL OTRO PARA SER AMURADO A COLUMNAS DE H° A° A CONSTRUIR.SOBRE LAS VIGAS SE APOYARAN LAS CORREAS QUE SERAN PERFILES GALVANIZADOS TIPO C DE 120 x 50 x 12 x 2 mm.Y LA AISLACION TERMO HIDROFUGA DE 50 mm. DE ESPESOR , PARA RECIBIR LA CUBIRTA DE 400 M2 DE CHAPA GALVANIZADA N° 24 TRAPEZOIDAL DE PRIMERA CALIDAD. DESAGUES PLUVIALES, CONSTRUCCION DE CANALETAS, BABETAS ,CON NO MENOS DE 4 BAJADAS. SE DE ENTREGAR CON 2 MANOS DE ANTIOXIDO Y  2 MANOS DE ESMALTE IGUAL AL EXISTENTE.",1.0,50000.0,0.0,50000.0
2004,1,1398,1,1,1525,1,ACEITE COMESTIBLE - TIPO MEZCLA - ENVASE PLASTICO - CAPACIDAD X 1 LT.,1365.0,2.28,1365.0,3112.2
2004,1,1398,2,1,1525,2,ARROZ - ARROZ (GENERICO),1445.0,1.15,1445.0,1661.75
2004,1,1399,1,1,1522,1,TIMBRES POSTALES - TIMBRES POSTALES (GENERICO),1.0,490.75,1.0,490.75
2004,1,1400,1,1,1515,1,CARTUCHO P/IMPRESORA XEROX 3130 ORIG. - CARTUCHO P/IMPRESORA XEROX 3120 REC.,1.0,180.0,1.0,180.0
2004,1,1401,1,1,1539,1,SERVICIO DE IMPRESION - SERVICIO DE IMPRESION (GENERICO),1.0,1162.0,1.0,1162.0
2004,1,1402,1,1,1540,1,CEMENTO P/ALBAÑILERIA - 600 BOLSAS TIPO PORTLAND - PRESENTACION X 50 KG.,1.0,8595.84,0.0,8595.84
2004,1,1403,1,1,1542,1,REPARACION VEHICULO - TAREA INSTALACION ELECTRICA.,1.0,150.0,1.0,150.0
2004,1,1403,2,1,1542,2,BENDIX DE ARRANQUE P/AUTOMOTOR - BENDIX DE ARRANQUE P/AUTOMOTOR (GENERICO),1.0,160.0,1.0,160.0
