EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE
2004,2187,2004-05-04 00:00:00,GMADA,110,1110104000,5,50003,P,C,LIQSU,1300,2004,1417,S,2004-05-04 00:00:00,26.05,26.05,1,,,viatico MANSILLA G,,,0.0,0.0,,,26.05,N,N,,,,,,,,,,S
2004,2188,2004-05-04 00:00:00,GMADA,110,1110101000,1,33,P,C,,,,1415,S,2004-05-04 00:00:00,18.0,18.0,1,,,SEGUROS,,,0.0,0.0,,,18.0,N,N,,,,,,,,,,S
2004,2599,2004-05-26 00:00:00,GMADA,110,1110105000,6,50008,P,C,,,,1726,S,2004-05-26 00:00:00,10347.97,7137.91,1,,,mayo 2004,,,0.0,3210.06,,,10347.97,N,N,,,,,,,,,,S
2004,2600,2004-05-26 00:00:00,GMADA,110,1110110000,12,50008,P,C,,,,1726,S,2004-05-26 00:00:00,2575.95,2014.8,1,,,mayo 2004,,,0.0,561.15,,,2575.95,N,N,,,,,,,,,,S
2004,2601,2004-05-26 00:00:00,GMADA,110,1110103000,3,50008,P,C,NOTA,5,2004,1726,S,2004-05-26 00:00:00,4068.44,3230.11,1,,,SUELDOS MES DE MAYO,,,0.0,838.33,,,4068.44,N,N,,,,,,,,,,S
2004,2602,2004-05-26 00:00:00,GMADA,110,1110108000,14,50008,P,C,,,,1726,S,2004-05-26 00:00:00,9697.99,5645.3,1,,,MAYO 2004,,,0.0,4052.69,,,9697.99,N,N,,,,,,,,,,S
2004,2603,2004-05-26 00:00:00,GMADA,110,1110106000,7,50008,P,C,,,,1726,S,2004-05-26 00:00:00,9891.4,6773.97,1,,,mayo 2004,,,0.0,3117.43,,,9891.4,N,N,,,,,,,,,,S
2004,2604,2004-05-27 00:00:00,GMADA,110,1110104000,5,50003,P,C,NOTA,1513,2004,1734,S,2004-05-27 00:00:00,26.05,26.05,1,,,SEBASTIAN FLORES,,,0.0,0.0,,,26.05,N,N,,,,,,,,,,S
2004,2605,2004-05-27 00:00:00,GMADA,110,1110104000,5,250,P,C,,,,1743,S,2004-05-27 00:00:00,3044.0,2970.95,1,,,DROGAS,,,0.0,73.05,,,2515.7,N,N,,,,,,,,,,S
2004,2606,2004-05-27 00:00:00,GMADA,110,1110104000,5,50003,P,C,NOTA,1512,2004,1738,S,2004-05-27 00:00:00,26.05,26.05,1,,,JORGE ESCALADA,,,0.0,0.0,,,26.05,N,N,,,,,,,,,,S
