EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2010,87,6,5.4,111210127
2010,88,1,273.46,111210127
2010,88,2,93.76,111210127
2010,88,11,224.71,111210127
2010,90,6,88.4,111210127
2010,94,6,33.6,111210127
2010,95,3,84.0,111210127
2010,95,4,210.0,111210127
2010,95,6,117.6,111210127
2010,99,6,54.3,111210127
2010,100,6,126.0,111220803
2010,104,6,69.2,111210127
2010,107,3,3.1,111221300
2010,107,6,73.3,111221300
2010,113,3,261.02,111221300
2010,113,4,902.56,111221300
2010,113,6,505.4,111221300
2010,114,6,25.2,111210127
2010,116,3,92.11,111220803
2010,116,6,398.5,111220803
2010,119,6,323.4,111210127
2010,120,3,403.62,111221000
2010,120,6,705.0,111221000
2010,123,6,183.1,111220803
2010,134,6,201.9,111210127
2010,137,6,79.5,111210127
2010,138,6,763.3,111210127
2010,141,6,28.1,111210127
2010,142,6,37.8,111210127
2010,143,6,61.9,111210127
2010,144,6,69.0,111210127
2010,147,6,43.2,111210127
2010,153,3,73.36,111210127
2010,167,4,270.9,111220300
2010,167,6,151.7,111220300
2010,171,6,29.0,111210127
2010,177,6,68.6,111210127
2010,179,6,242.8,111210127
2010,181,6,52.8,111210127
2010,182,6,112.0,111210127
2010,183,6,117.6,111210127
2010,190,6,144.6,111210127
2010,193,6,70.4,111210127
2010,197,3,771.68,111210127
2010,197,6,77.1,111210127
2010,201,6,44.8,111210127
2010,202,3,24.55,111210127
2010,203,6,63.3,111210127
2010,204,6,325.9,111210127
2010,208,6,143.6,111210127
2010,211,6,112.0,111210127
2010,213,3,50.0,111210127
2010,213,6,210.0,111210127
2010,220,6,113.6,111210127
2010,225,6,7.8,111210127
2010,226,6,160.3,111210127
2010,227,6,6.0,111210127
2010,229,6,172.8,111210127
2010,231,3,167.34,111210127
2010,231,6,73.6,111210127
2010,248,6,5.6,111210127
2010,249,3,62.36,111220900
2010,249,6,151.1,111220900
2010,261,6,67.7,111220900
2010,262,6,71.0,111220900
2010,265,3,340.0,111220803
2010,265,6,616.0,111220803
2010,266,3,115.71,111220803
2010,266,6,168.0,111220803
2010,267,6,232.5,111210127
2010,268,6,165.4,111210127
2010,269,6,19.7,111210127
2010,270,6,252.0,111210127
2010,272,6,82.3,111210127
2010,273,6,13.3,111210127
2010,281,6,210.2,111210127
2010,282,3,248.08,111210127
2010,282,6,347.2,111210127
2010,287,3,22.67,111210127
2010,302,6,84.0,111220900
2010,305,3,22.1,111210127
2010,305,6,61.0,111210127
2010,306,6,7.7,111210127
2010,308,6,129.9,111210127
2010,309,6,63.4,111210127
2010,313,6,6.3,111210127
2010,314,6,81.6,111210127
2010,315,6,37.2,111210127
2010,316,3,63.75,111220900
2010,316,6,277.4,111220900
2010,317,6,7.1,111210127
2010,318,6,50.0,111210127
2010,319,6,1.1,111210127
2010,320,3,534.24,111220803
2010,320,4,4006.8,111220803
2010,320,6,2243.8,111220803
2010,321,4,412.5,111220803
2010,321,6,231.0,111220803
2010,327,6,23.9,111210127
2010,332,6,231.5,111210127
2010,395,6,187.6,111220900
2009,4533,4,566.38,111220803
2009,4533,6,317.1,111220803
2009,4534,4,150.0,111210125
2009,4534,6,84.0,111210125
2009,4535,6,57.0,111220801
2009,4538,3,131.56,111220802
2009,4538,6,190.9,111220802
2009,4542,6,96.4,111210125
2009,4551,4,101.75,111210125
2009,4551,6,56.9,111210125
2009,4567,6,5.0,111210125
2009,4575,3,223.58,111220100
2009,4579,6,14.9,111210125
2009,4601,6,26.1,111210125
2009,4602,6,22.8,111210125
2009,4604,3,128.99,111210125
2009,4605,6,4.6,111210125
2009,4606,6,128.4,111210125
2009,4607,6,22.6,111210125
2009,4608,6,26.6,111210125
2009,4610,6,81.3,111210125
2009,4611,6,70.0,111210125
2009,4613,6,135.2,111210125
2009,4616,6,48.6,111210125
2009,4619,3,111.34,111210125
2009,4619,6,247.9,111210125
2009,4621,3,78.52,111210125
2009,4621,6,114.0,111210125
2009,4625,3,163.66,111220803
2009,4625,6,237.6,111220803
2009,4629,4,2660.0,111210107
2009,4629,6,1489.6,111210107
2009,4631,6,214.1,111210125
2009,4632,3,74.8,111210125
2009,4632,6,213.5,111210125
2009,4636,4,70.0,111210125
2009,4637,3,58.0,111210125
2009,4637,6,221.2,111210125
2009,4640,1,132016.45,111210125
2009,4640,2,45059.0,111210125
2009,4640,3,4790.4,111210125
2009,4640,5,95357.06,111210125
2009,4640,7,7084.57,111210125
2009,4640,9,1629.82,111210125
2009,4640,10,3551.12,111210125
2009,4640,11,1348.24,111210125
2009,4640,12,240.0,111210125
2009,4640,14,8744.74,111210125
2009,4640,15,66.3,111210125
2009,4640,16,2588.49,111210125
2009,4640,17,999.74,111210125
2009,4640,18,25396.15,111210125
2009,4640,19,68.57,111210125
2009,4640,20,1495.0,111210125
2009,4640,23,2835.22,111210125
2009,4640,24,6386.48,111210125
2009,4646,6,22.4,111220100
2009,4647,6,95.5,111220900
2009,4649,1,3123.99,111210125
2009,4649,2,1071.1,111210125
2009,4649,5,4456.32,111210125
2009,4649,14,93.54,111210125
2009,4649,16,72.58,111210125
2009,4649,18,736.27,111210125
2009,4649,24,62.58,111210125
2009,4650,1,158.84,111210125
2009,4650,2,54.46,111210125
2009,4651,1,1031.86,111210125
2009,4651,2,353.78,111210125
2009,4651,10,179.77,111210125
2009,4651,12,10.0,111210125
2009,4652,1,140.0,111210125
2009,4652,2,48.0,111210125
2009,4653,1,125.84,111210125
2009,4653,2,43.14,111210125
2009,4653,10,44.94,111210125
2009,4654,1,202.73,111210125
2009,4654,2,69.51,111210125
2009,4654,5,404.77,111210125
2009,4654,9,51.59,111210125
2009,4654,14,29.98,111210125
2009,4654,16,11.16,111210125
2009,4654,17,42.6,111210125
2009,4654,18,387.69,111210125
2009,4655,1,142.89,111210125
2009,4655,2,48.99,111210125
2009,4656,1,482.16,111210125
2009,4656,2,165.3,111210125
2009,4660,6,43.2,111210125
2009,4661,6,9.2,111210125
2009,4663,6,66.7,111220803
2009,4670,3,1112.64,111210107
2009,4670,4,3031.6,111210107
2009,4670,6,606.2,111210107
2009,4671,3,92.56,111220803
2009,4671,6,134.4,111220803
2009,4672,3,68.63,111220802
2009,4672,6,67.2,111220802
2009,4686,6,20.3,111210125
2009,4687,1,151.06,111210125
2009,4687,2,51.79,111210125
2009,4688,1,375.64,111210125
2009,4688,2,128.79,111210125
2009,4693,6,145.3,111210125
2009,4701,3,199.99,111220900
2009,4701,6,407.9,111220900
2009,4703,6,109.2,111220900
2009,4705,6,167.7,111220900
2009,4718,3,55.36,111210125
2009,4718,6,80.3,111210125
2009,4731,4,210.0,111220803
2009,4731,6,117.6,111220803
2009,4736,6,124.4,111220801
2009,4758,4,573.0,111220300
2009,4758,6,320.7,111220300
2009,4760,4,30.0,111210125
2009,4762,3,33.6,111210125
2009,4769,6,102.4,111220900
2009,4770,3,142.05,111220300
2009,4770,4,605.13,111220300
2009,4770,6,338.8,111220300
2009,4782,6,82.4,111210125
2009,4788,6,58.8,111220900
2009,4790,6,141.7,111210125
2009,4799,3,67.2,111210125
2009,4801,3,55.45,111210125
2009,4804,6,63.6,111210125
2009,4806,6,20.5,111210125
2009,4807,6,7.2,111210125
2009,4808,6,195.5,111210125
2009,4813,3,49.43,111210125
2009,4816,6,1.6,111210125
2009,4824,6,110.8,111220900
2009,4826,6,233.8,111220802
2009,4844,3,12.37,111210125
2009,4848,4,40.0,111210125
2009,4850,3,80.0,111210125
2009,4850,6,252.0,111210125
2009,4862,6,45.0,111221300
2009,4851,6,181.4,111220900
2009,4857,6,44.8,111221200
2009,4865,6,93.9,111210125
2009,4873,6,63.4,111210125
2009,4874,6,90.7,111210125
2009,4878,3,36.0,111210125
2009,4886,6,172.8,111210125
2009,4888,6,72.4,111220803
2009,4890,6,6.2,111210125
2009,4898,1,558.8,111210125
2009,4898,2,191.58,111210125
2009,4903,6,20.4,111220900
2009,4901,6,50.4,111210125
2009,4902,6,22.4,111220100
2009,4910,3,862.08,111221000
2009,4910,6,1346.9,111221000
2009,4912,6,449.7,111210125
2009,4916,6,148.4,111210125
2009,4925,6,100.8,111221000
2009,4927,6,8.6,111210125
2009,4928,6,50.0,111210125
2009,4936,6,70.4,111220700
2009,4937,6,96.1,111210124
2009,4942,6,79.2,111210125
2009,4944,4,477.31,111220300
2009,4944,6,267.3,111220300
2009,4945,6,86.2,111210125
2009,4946,3,170.5,111220802
2009,4946,6,247.5,111220802
2009,4947,3,84.7,111210125
2009,4947,6,249.3,111210125
2009,4948,4,30.0,111210125
2009,4949,3,138.0,111220100
2009,4949,6,193.2,111220100
2009,4956,6,106.6,111220100
2009,4968,6,145.6,111210125
2009,4986,6,367.9,111220803
2009,4971,6,17.2,111220700
2009,4978,3,1188.42,111220803
2009,4978,4,3290.02,111220803
2009,4978,6,1842.4,111220803
2009,4979,6,311.3,111220803
2009,4970,6,54.6,111220700
2009,4988,6,56.0,111221200
2009,4985,6,144.5,111220300
2009,4982,4,421.88,111220802
2009,4982,6,236.2,111220802
2009,4986,3,112.93,111220803
2009,4989,6,50.4,111221200
2009,4991,6,94.2,111210125
2009,4996,6,53.4,111210125
2009,5002,6,81.5,111220900
2009,5005,6,285.6,111220900
2009,5006,6,135.8,111220900
2009,5012,6,44.7,111210125
2009,5017,6,1.6,111210125
2009,5021,4,70.0,111210124
2009,5024,6,33.6,111210125
2009,5036,3,180.0,111210107
2009,5036,4,520.0,111210107
2009,5036,6,215.6,111210107
2009,5036,888,44.0,111210107
2009,5037,3,85.65,111210107
2009,5037,4,214.13,111210107
2009,5037,6,42.7,111210107
2009,5043,4,20.0,111210125
2009,5044,3,122.87,111210125
2009,5044,6,153.7,111210125
2009,5046,6,192.9,111220900
2009,5048,4,75.0,111210125
2009,5049,3,122.5,111210125
2009,5049,6,206.2,111210125
2009,5078,6,48.3,111210125
2009,5109,2,44756.31,111210125
2009,5109,3,4014.29,111210125
2009,5103,3,39.23,111220802
2009,5103,6,56.9,111220802
2009,5109,1,129082.67,111210125
2009,5109,5,87009.44,111210125
2009,5109,7,8125.07,111210125
2009,5109,9,2651.64,111210125
2009,5109,10,3004.92,111210125
2009,5109,11,1348.24,111210125
2009,5109,12,230.0,111210125
2009,5109,14,8790.71,111210125
2009,5109,15,55.25,111210125
2009,5109,16,2558.81,111210125
2009,5109,17,999.74,111210125
2009,5109,18,25476.66,111210125
2009,5109,19,68.57,111210125
2009,5109,20,1448.84,111210125
2009,5109,21,141.92,111210125
2009,5109,23,2889.73,111210125
2009,5109,24,6184.64,111210125
2009,5110,6,7.3,111210125
2009,5114,6,25.4,111210125
2009,5117,6,16.3,111210125
2009,5118,6,16.4,111210125
2009,5120,1,745.65,111210125
2009,2681,6,6.8,111210125
2009,2683,6,81.5,111220400
2009,2688,6,44.8,111221200
2009,2690,6,44.8,111221200
2009,2696,4,225.0,111210125
2009,2696,6,126.0,111210125
2009,2702,4,62.5,111210125
2009,2706,6,20.9,111210125
2009,2710,6,151.2,111210125
2009,2711,3,244.36,111210125
2009,2711,6,354.8,111210125
2009,2716,6,2.5,111220900
2009,2724,6,91.1,111220900
2009,2729,6,50.0,111220900
2009,2737,6,102.2,111210125
2009,2741,3,165.89,111210125
2009,2741,6,240.1,111210125
2009,2744,4,50.0,111210125
2009,2755,1,54097.46,111210125
2009,2755,2,18106.61,111210125
2009,2755,7,106.76,111210125
2009,2755,19,13.22,111210125
2009,2755,20,729.66,111210125
2009,2760,1,20.45,111220900
2009,2760,2,7.01,111220900
2009,2761,1,1162.71,111210125
2009,2761,2,398.61,111210125
2009,2762,1,23.73,111210125
2009,2762,2,8.14,111210125
2009,2763,1,40.37,111210125
2009,2763,2,13.84,111210125
2009,2764,1,23.7,111210125
2009,2764,2,8.13,111210125
2009,2765,1,23.59,111210125
2009,2765,2,8.09,111210125
2009,2766,1,71.6,111210125
2009,2766,2,24.55,111210125
2009,2767,1,128.31,111210125
2009,2767,2,43.99,111210125
2009,2793,6,33.6,111210125
2009,2798,6,210.2,111210125
2009,2773,6,84.0,111210125
2009,2785,1,44.9,111210125
2009,2785,2,15.39,111210125
2009,2787,6,210.0,111210125
2009,2768,1,349.28,111210125
2009,2768,2,119.74,111210125
2009,2792,6,80.3,111210125
2009,2800,6,207.1,111220803
2009,2801,3,74.0,111220803
2009,2801,6,162.0,111220803
2009,2805,4,2500.0,111220803
2009,2805,6,1400.0,111220803
2009,2814,3,130.57,111210125
2009,2814,6,187.6,111210125
2009,2819,3,23.44,111210125
2009,2820,6,56.8,111220803
2009,2822,3,600.95,111210125
2009,2822,6,424.0,111210125
2009,2825,6,111.8,111220900
2009,2842,6,112.0,111210125
2009,2847,6,56.7,111210125
2009,2850,4,504.9,111220300
2009,2850,6,282.7,111220300
2009,2852,3,21.82,111220300
2009,2854,3,36.76,111220300
2009,2854,6,401.8,111220300
2009,2863,6,60.0,111210125
2009,2867,6,68.0,111210125
2009,2869,3,26.97,111210125
2009,2869,6,177.4,111210125
2009,2873,6,90.5,111220803
2009,2874,4,201.0,111210125
2009,2874,6,112.5,111210125
2009,2875,3,80.16,111210125
2009,2875,6,154.0,111210125
2009,2880,3,431.84,111221000
2009,2880,6,744.5,111221000
2009,2891,4,62.5,111210125
2009,2893,4,266.0,111210125
2009,2893,6,148.9,111210125
2009,2896,6,60.7,111210125
2009,2898,3,51.09,111210125
2009,2898,6,74.1,111210125
2009,2901,6,11.9,111210125
2009,2903,6,77.2,111210125
2009,2909,6,167.6,111210125
2009,2921,6,40.6,111210125
2009,2916,6,44.8,111210125
2009,2919,6,48.9,111210125
2009,2926,6,91.3,111210125
2009,2940,3,127.27,111210125
2009,2940,6,215.6,111210125
2009,2941,6,179.2,111210125
2009,2942,6,71.1,111210125
2009,2949,6,196.5,111220900
2009,2951,4,1200.46,111220803
2009,2951,6,672.2,111220803
2009,2952,4,252.0,111220803
2009,2952,6,141.1,111220803
2009,2955,1,121029.6,111210125
2009,2955,2,41312.49,111210125
2009,2955,3,3746.75,111210125
2009,2955,5,93603.92,111210125
2009,2955,7,6925.49,111210125
2009,2955,9,2199.28,111210125
2009,2955,10,3414.03,111210125
2009,2955,11,1348.24,111210125
2009,2955,12,230.0,111210125
2009,2955,14,8538.24,111210125
2009,2955,15,55.25,111210125
2009,2955,16,2486.17,111210125
2009,2955,17,1212.74,111210125
2009,2955,18,24023.58,111210125
2009,2955,19,66.1,111210125
2009,2955,20,1460.95,111210125
2009,2955,23,2251.85,111210125
2009,2955,24,5914.09,111210125
2009,2959,4,60.0,111210125
2009,2960,1,133.37,111210125
2009,2960,2,45.73,111210125
2009,2961,1,141.37,111210125
2009,2961,2,48.46,111210125
2009,2962,1,160.61,111210125
2009,2962,2,55.07,111210125
2009,2963,1,159.79,111210125
2009,2963,2,54.78,111210125
2009,2964,1,196.98,111210125
2009,2964,2,67.52,111210125
2009,2965,1,562.08,111210125
2009,2965,2,192.72,111210125
2009,2965,20,22.08,111210125
2009,2966,1,140.84,111220900
2009,2966,2,48.29,111220900
2009,2967,1,6872.48,111210125
2009,2967,2,2356.29,111210125
2009,2967,5,5449.88,111210125
2009,2967,7,299.83,111210125
2009,2967,14,80.94,111210125
2009,2967,15,11.05,111210125
2009,2967,16,54.13,111210125
2009,2967,18,259.75,111210125
2009,2967,24,102.85,111210125
2009,2991,6,29.9,111210125
2009,2992,6,50.2,111210125
2009,2994,6,170.2,111210125
2009,2997,6,4.7,111220100
2009,3001,6,62.1,111210125
2009,3002,3,105.79,111210125
