EJERCICIO,NRO_REGUL,NRO_RENG,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_UE,CODIGO_AXT,COD_PROV,IMPORTE,DEUDA,OBSERVACIONES
2005,20,1,110,3,1,4,0,1110200000,1,0,0,8,,50022,-174.24,N,
2005,21,0,110,3,1,4,0,1110101000,1,0,0,1,,50022,222.64,N,
2005,21,1,110,3,1,4,0,1110200000,1,0,0,8,,50022,-222.64,N,
2005,22,0,132,5,1,4,0,1110106000,44,0,0,7,,347,2600.0,N,
2005,22,1,110,5,1,5,0,1110106000,24,0,0,7,,347,-2600.0,N,
2005,23,0,132,5,1,4,0,1110106000,44,0,0,7,,32,681.14,N,
2005,23,1,110,5,1,4,0,1110106000,24,0,0,7,,32,-681.14,N,
2005,23,2,132,5,1,4,0,1110106000,44,0,0,7,,181,1620.0,N,
2005,23,3,110,5,1,4,0,1110106000,24,0,0,7,,181,-1620.0,N,
2005,23,4,132,5,1,4,0,1110106000,44,0,0,7,,92,180.0,N,
2005,23,5,110,5,1,4,0,1110106000,24,0,0,7,,92,-180.0,N,
2005,23,6,132,5,1,4,0,1110106000,44,0,0,7,,324,1200.0,N,
2005,23,7,110,5,1,4,0,1110106000,24,0,0,7,,324,-1200.0,N,
2005,23,8,132,5,1,4,0,1110106000,44,0,0,7,,75,413.5,N,
2005,23,9,110,5,1,4,0,1110106000,24,0,0,7,,75,-413.5,N,
2005,23,10,132,5,1,4,0,1110106000,44,0,0,7,,67,400.0,N,
2005,23,11,110,5,1,4,0,1110106000,24,0,0,7,,67,-400.0,N,
2005,24,0,132,5,1,4,0,1110106000,44,0,0,7,,406,4147.5,N,
2005,24,1,132,2,1,1,0,1110106000,24,0,0,7,,406,-4147.5,N,
2005,24,2,132,3,5,5,0,1110106000,44,0,0,7,,50087,101.0,N,
2005,24,3,132,3,5,5,0,1110106000,24,0,0,7,,50087,-101.0,N,
2005,24,4,110,3,7,2,0,1110106000,24,0,0,7,,50003,74.52,N,
2005,24,5,132,3,7,2,0,1110106000,24,0,0,7,,50003,-74.52,N,
2005,24,6,132,5,1,4,0,1110106000,44,0,0,7,,430,940.0,N,
2005,24,7,132,5,1,4,0,1110106000,24,0,0,7,,430,-940.0,N,
2005,24,8,132,5,1,4,0,1110106000,44,0,0,7,,50015,1925.57,N,
2005,24,9,132,5,1,4,0,1110106000,24,0,0,7,,50015,-1925.57,N,
2005,24,10,132,5,1,4,0,1110106000,44,0,0,7,,9,200.82,N,
2005,24,11,132,2,1,1,0,1110106000,25,0,0,7,,9,-200.82,N,
2005,24,12,132,5,1,4,0,1110106000,44,0,0,7,,434,462.4,N,
2005,24,13,132,2,1,1,0,1110106000,25,0,0,7,,434,-462.4,N,
2005,24,14,132,5,1,4,0,1110106000,44,0,0,7,,207,331.2,N,
2005,24,15,132,2,1,1,0,1110106000,25,0,0,7,,207,-331.2,N,
2005,25,0,132,5,1,4,0,1110106000,44,0,0,7,,207,-331.2,N,
2005,25,1,132,2,1,1,0,1110106000,25,0,0,7,,207,331.2,N,
2005,31,0,133,5,1,7,0,1110101000,1,0,0,1,,50069,400.0,N,
2005,31,1,110,5,1,7,0,1110101000,1,0,0,1,,50069,-400.0,N,
2005,32,0,132,5,1,4,0,1110106000,41,0,0,7,,90,7835.0,N,
2005,32,1,132,5,1,4,0,1110106000,32,0,0,7,,90,-7835.0,N,
2005,32,2,132,5,1,4,0,1110106000,41,0,0,7,,66,145.8,N,
2005,32,3,132,5,1,4,0,1110106000,32,0,0,7,,66,-145.8,N,
2005,33,0,132,2,5,5,0,1110102000,1,0,0,2,,50012,92.98,N,
2005,33,1,132,2,9,1,0,1110102000,1,0,0,2,,50012,6.7,N,
2005,33,2,132,2,9,2,0,1110102000,1,0,0,2,,50012,189.86,N,
2005,33,3,132,2,9,6,0,1110102000,1,0,0,2,,50012,14.4,N,
2005,33,4,132,3,3,2,0,1110102000,1,0,0,2,,50012,35.0,N,
2005,33,5,132,3,4,9,0,1110102000,1,0,0,2,,50012,46.0,N,
2005,33,6,132,2,5,5,0,1110103000,1,0,0,3,,50012,-92.98,N,
2005,33,7,132,2,9,1,0,1110103000,1,0,0,3,,50012,-6.7,N,
2005,33,8,132,2,9,2,0,1110103000,1,0,0,3,,50012,-189.86,N,
2005,33,9,132,2,9,6,0,1110103000,1,0,0,3,,50012,-14.4,N,
2005,33,10,132,3,3,2,0,1110103000,1,0,0,3,,50012,-35.0,N,
2005,33,11,132,3,4,9,0,1110103000,1,0,0,3,,50012,-46.0,N,
2005,34,0,132,2,1,5,0,1110103000,18,0,0,3,,129,-105.0,N,
2005,34,1,131,2,1,5,0,1110111000,23,0,0,3,,129,105.0,N,
2005,34,2,132,2,3,1,0,1110102000,1,0,0,2,,50012,40.3,N,
2005,34,3,132,2,3,1,0,1110103000,18,0,0,3,,50012,-40.3,N,
2005,34,4,132,2,4,4,0,1110102000,1,0,0,2,,50012,13.0,N,
2005,34,5,132,2,4,4,0,1110103000,18,0,0,3,,50012,-13.0,N,
2005,35,0,133,3,5,5,0,1110103000,51,34,0,3,,50063,0.55,N,
2005,35,1,133,3,5,5,0,1110103000,18,0,0,3,,50063,-0.55,N,
2005,36,0,110,3,7,2,0,1110103000,19,0,0,3,,50003,-74.44,N,
2005,36,1,110,3,7,2,0,1110103000,18,0,0,3,,50003,74.44,N,
2005,37,0,110,2,5,5,0,1110103000,51,35,0,3,,75,-8.9,N,
2005,37,1,132,2,5,5,0,1110103000,51,35,0,3,,75,8.9,N,
2005,37,2,132,2,6,4,0,1110103000,51,35,0,3,,75,79.0,N,
2005,37,3,110,2,6,4,0,1110103000,51,35,0,3,,75,-79.0,N,
2005,37,4,132,2,7,9,0,1110103000,51,35,0,3,,75,12.3,N,
2005,37,5,110,2,7,9,0,1110103000,51,35,0,3,,75,-12.3,N,
2005,38,0,110,7,6,1,0,1110107000,93,0,0,2,,153,1109.94,S,
2005,38,1,110,7,6,1,0,1110104000,16,0,0,5,,153,-1109.94,S,
2005,39,0,132,3,2,2,0,1110103000,51,78,0,3,,279,4320.0,N,
2005,39,1,132,3,4,2,0,1110103000,51,79,0,3,,279,-4320.0,N,
2005,44,0,132,3,7,2,0,1110109000,45,0,0,13,,50003,49.78,N,
2005,44,1,132,3,7,2,0,1110105000,46,0,0,6,,50003,-49.78,N,
2005,45,0,132,5,1,4,0,1110106000,41,0,0,7,,90,4975.0,N,
2005,45,1,132,5,1,4,0,1110106000,44,0,0,7,,90,-4975.0,N,
2005,46,0,132,2,5,6,0,1110102000,42,0,0,2,,497,394.67,N,
2005,46,1,132,2,5,6,0,1110102000,1,0,0,2,,497,-394.67,N,
2005,55,0,110,3,7,2,0,1110102000,1,0,0,2,,50003,74.52,N,
2005,55,1,110,3,7,2,0,1110108000,29,0,0,14,,50003,-74.52,N,
2005,56,0,110,3,1,1,0,1110200000,1,0,0,8,,193,54.25,N,
2005,56,1,110,5,1,4,0,1110200000,1,0,0,8,,193,-54.25,N,
2005,57,0,132,4,3,2,0,1110108000,46,0,0,14,,596,4640.0,N,
2005,57,1,132,4,3,2,0,1110108000,43,0,0,14,,596,-4640.0,N,
2005,58,0,110,3,1,1,0,1110103000,19,0,0,3,,193,34575.63,N,
2005,58,1,110,3,1,1,0,1110103000,18,0,0,3,,193,-34575.63,N,
2005,65,0,132,5,1,4,0,1110108000,43,0,0,14,,680,350.6,N,
2005,65,1,132,5,1,4,0,1110108000,29,0,0,14,,680,-350.6,N,
2005,119,0,133,5,1,7,0,1110101000,1,0,0,1,,50069,50000.0,N,
2005,119,1,110,5,1,7,0,1110101000,1,0,0,1,,50069,-50000.0,N,
2005,119,2,133,5,1,4,0,1110101000,1,0,0,1,,50069,18081.5,N,
2005,119,3,110,5,1,4,0,1110101000,1,0,0,1,,50069,-18081.5,N,
2005,120,0,132,2,3,1,0,1110102000,1,0,0,2,,50158,369.35,N,
2005,120,1,132,2,3,1,0,1110102000,1,0,0,2,,50158,-369.35,N,
2005,120,2,132,2,4,4,0,1110102000,42,0,0,2,,50158,13.0,N,
2005,120,3,132,2,5,5,0,1110102000,1,0,0,2,,50158,-13.0,N,
2005,120,4,132,2,5,5,0,1110102000,42,0,0,2,,50158,130.32,N,
2005,120,5,132,2,5,5,0,1110102000,1,0,0,2,,50158,-130.32,N,
2005,120,6,132,2,5,6,0,1110102000,42,0,0,2,,50158,44.29,N,
2005,120,7,132,2,5,6,0,1110102000,1,0,0,2,,50158,-44.29,N,
2005,120,8,132,2,5,6,0,1110102000,42,0,0,2,,497,944.67,N,
2005,120,9,132,2,5,6,0,1110102000,1,0,0,2,,497,-944.67,N,
2005,120,10,132,2,7,4,0,1110102000,42,0,0,2,,50158,101.2,N,
2005,120,11,132,2,7,4,0,1110102000,1,0,0,2,,50158,-101.2,N,
2005,120,12,132,2,9,1,0,1110102000,42,0,0,2,,50158,65.75,N,
2005,120,13,132,2,9,1,0,1110102000,1,0,0,2,,50158,-65.75,N,
2005,120,14,132,2,9,2,0,1110102000,42,0,0,2,,50158,431.0,N,
2005,120,15,132,2,9,2,0,1110102000,1,0,0,2,,50158,-431.0,N,
2005,120,16,132,2,9,6,0,1110102000,42,0,0,2,,50158,43.5,N,
2005,120,17,132,2,9,6,0,1110102000,1,0,0,2,,50158,-43.5,N,
2005,120,18,132,2,9,6,0,1110102000,42,0,0,2,,56,1034.4,N,
2005,120,19,132,2,9,6,0,1110102000,1,0,0,2,,56,-1034.4,N,
2005,120,20,132,3,1,1,0,1110102000,42,0,0,2,,193,621.38,N,
2005,120,21,132,3,1,1,0,1110102000,1,0,0,2,,193,-621.38,N,
2005,120,22,132,3,1,4,0,1110102000,42,0,0,2,,50036,69.25,N,
2005,120,23,132,3,1,4,0,1110102000,1,0,0,2,,50036,-69.25,N,
2005,120,24,132,3,2,1,0,1110102000,42,0,0,2,,495,4500.0,N,
2005,120,25,132,3,2,1,0,1110102000,1,0,0,2,,495,-4500.0,N,
2005,120,26,132,3,3,2,0,1110102000,42,0,0,2,,50158,88.0,N,
