EJERCICIO,COD_PROV,EJERCICIO_OC,ORDEN_COMPRA,CODIGO_FF,ES_PROY,IMPORTE_TOTAL,OBSERVACIONES
2004,63,2003,2882,,N,159.7,
2004,47,2003,2894,,N,189.75,
2004,25,2003,2879,,N,780.0,
2004,174,2003,2900,,N,117.0,deuda flotante
2004,63,2003,2569,,N,67.81,deuda flotante
2004,63,2003,2857,,N,86.86,deuda flotante
2004,63,2003,2859,,N,234.62,deuda flotante
2004,3,2003,2639,,N,113.0,deuda flotante
2004,50025,2003,2775,,N,359.37,deuda flotante
2004,69,2003,2463,,N,126.0,deuda flotante
2004,48,2003,2724,,N,172.65,deuda flotante
2004,45,2003,2583,,N,785.0,deuda flotante
2004,44,2003,1893,,N,166.0,deuda flotante
2004,47,2003,2636,,N,118.5,deuda flotante
2004,3,2003,2307,,N,148.0,deuda flotante
2004,3,2003,2222,,N,140.0,deuda flotante
2004,191,2003,206,,N,463.0,
2004,191,2003,1726,,N,290.0,DEUDA FLOTANTE
2004,190,2003,2473,,N,185.0,DEUDA FLOTANTE
2004,190,2003,2563,,N,100.0,DEUDA FLOTANTE
2004,188,2003,392,,N,175.0,DEUDA FLOTANTE
2004,189,2003,2676,,N,2121.0,DEUDA FLOTANTE
2004,189,2003,1880,,N,1150.0,DEUDA FLOTANTE
2004,186,2003,1941,,N,676.0,deuda flotante
2004,187,2003,2509,,N,210.0,deuda flotante
2004,184,2003,2131,,N,170.0,DEUDA FLOTANTE
2004,183,2003,221,,N,300.0,DEUDA FLOTANTE
2004,47,2003,2316,,N,182.91,DEUDA FLOTANTE
2004,47,2003,2797,,N,131.08,DEUDA FLOTANTE
2004,41,2003,2802,,N,100.0,DEUDA FLOTANTE
2004,41,2003,1724,,N,100.0,DEUDA FLOTANTE
2004,3,2003,2010,,N,1011.0,DEUDA FLOTANTE
2004,3,2003,2070,,N,187.0,DEUDA FLOTANTE
2004,49,2003,2034,,N,200.0,DEUDA FLOTANTE
2004,41,2003,2456,,N,100.0,DEUDA FLOTANTE
2004,3,2003,1989,,N,119.0,DEUDA FLOTANTE
