EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,222,455,FAB,7004-68183345,50023,110,3,1,3,0,1110200000,1,0,0,22343.52
2026,223,456,FAB,7004-68183344,50023,110,3,1,3,0,1110102000,1,0,0,22967.81
2026,223,456,FAB,7004-68183318,50023,110,3,1,3,0,1110102000,1,0,0,26496.33
2026,224,457,FAB,7004-68183346,50023,110,3,1,3,0,1110104000,16,0,0,102930.81
2026,225,458,FAB,7004-68183351,50023,110,3,1,3,0,1110104000,16,0,0,28208.26
2026,225,458,FAB,7004-68183480,50023,110,3,1,3,0,1110104000,16,0,0,26855.85
2026,225,458,FAB,7004-68183328,50023,110,3,1,3,0,1110104000,16,0,0,347129.16
2026,225,458,FAB,7004-68183350,50023,110,3,1,3,0,1110104000,16,0,0,38072.61
2026,226,459,FAB,7004-68183275,50023,110,3,1,3,0,1110102000,1,0,0,30884.92
2026,226,459,FAB,7004-68183323,50023,110,3,1,3,0,1110102000,1,0,0,21964.27
2026,227,162,FAC,0006-00000230,717,131,2,9,9,0,1110104000,16,0,0,15200.0
2026,227,162,FAC,0006-00000230,717,131,2,1,1,0,1110104000,16,0,0,117600.0
2026,228,136,FAC,0001-00000111,2843,132,5,1,4,0,1110106000,42,0,0,1785000.0
2026,229,461,COM,0000-00272100,51044,132,5,4,6,0,1110112000,1,0,0,2730667.0
2026,230,136,FAC,0001-00000099,2843,132,5,1,4,0,1110106000,42,0,0,1785000.0
2026,231,462,FAB,0007-02431803,2969,110,3,1,4,0,1110102000,1,0,0,116160.0
2026,232,463,FAB,2022-00001353,50003,110,3,7,2,0,1110102000,33,0,0,180000.0
2026,233,464,FAB,8173-96979396,50031,110,5,1,4,0,1110106000,24,0,0,310000.0
2026,793,1320,COM,2024-00002210,50209,131,5,1,7,0,1110101000,1,0,0,514271.19
2026,796,1321,COM,9862-01900002,50129,131,5,1,7,0,1110101000,1,0,0,1625236.23
2026,797,1322,COM,2024-18800001,50100,131,5,1,7,0,1110101000,1,0,0,663126.5
2026,941,938,FAB,0002-00000668,3556,131,2,1,1,0,1110104000,16,0,0,972000.0
2026,942,552,FAB,0005-00002024,1943,131,3,3,3,0,1110104000,16,0,0,1826436.92
2026,950,1498,FAB,2022-21900825,50087,110,3,5,5,0,1110102000,1,0,0,65356.31
2026,32,16,FAB,2022-21900806,50087,110,2,5,6,0,1110101000,1,0,0,250000.0
2026,33,17,FAB,2022-21900807,50087,131,2,5,6,0,1110111000,23,0,0,280000.0
2026,34,18,FAB,2022-21900808,50087,131,2,5,6,0,1110113000,42,0,0,4000000.0
2026,35,19,FAB,2022-21900809,50087,131,2,5,6,0,1110104000,16,0,0,1418000.0
2026,36,20,FAB,2022-21900810,50087,110,2,5,6,0,1110106000,24,0,0,300000.0
2026,37,21,FAB,2022-21900811,50087,110,2,5,6,0,1110109000,28,0,0,170000.0
2026,38,22,FAB,2022-21900812,50087,110,3,5,5,0,1110102000,1,0,0,125360.0
2026,39,25,FAB,2022-00001349,50003,110,3,7,2,0,1110117000,34,0,0,90000.0
2026,1268,1481,FAC,0002-00000602,68,132,5,1,4,0,1110106000,42,0,0,990000.0
2026,1269,1447,FAC,0002-00000795,3169,110,3,2,9,0,1110105000,30,0,0,210000.0
2026,1270,1404,FAC,0002-00000794,3169,110,3,2,9,0,1110105000,30,0,0,1456000.0
