ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2004,1110103000,20,0,0,13,15,3429,3429,3465,
2004,1110103000,21,0,0,17,9,450,450,450,
2004,1110103000,22,0,0,16,14,200,200,200,
2005,1110106000,24,0,0,9,8,0,6000,6000,
2005,1110106000,24,0,0,14,13,0,160,160,
2005,1110106000,25,0,0,9,8,0,160,240,
2005,1110109000,28,0,0,15,14,0,3000,4000,
2005,1110103000,18,0,0,5,5,0,25,56,
2005,1110103000,18,0,0,16,15,0,90,56,
2005,1110103000,19,0,0,17,16,0,153,100,
2005,1110103000,20,0,0,4,7,0,11992,12096,
2005,1110103000,21,0,0,8,1,0,3200,3200,
2005,1110103000,22,0,0,7,6,0,996,1236,
2005,1110105000,27,0,0,15,14,0,3334,4500,
2005,1110105000,27,0,0,18,17,0,15,16,
2005,1110105000,27,0,0,19,18,0,15,16,
2005,1110105000,27,0,0,20,19,0,5,4,
2005,1110105000,27,0,0,21,20,0,9,9,
2005,1110105000,27,0,0,22,21,0,60,60,
2005,1110104000,16,0,0,2,2,0,12000,12000,
2005,1110104000,17,0,0,11,9,0,1200,1200,
2006,1110105000,27,0,0,19,18,0,0,20,
2006,1110105000,27,0,0,15,14,0,0,4500,
2006,1110105000,27,0,0,18,17,0,0,20,
2006,1110105000,27,0,0,20,19,0,0,8,
2006,1110105000,27,0,0,22,21,0,0,60,
2006,1110105000,27,0,0,21,20,0,0,16,
2006,1110103000,18,0,0,5,5,0,0,115,
2006,1110103000,19,0,0,3,4,0,0,400,
2006,1110103000,20,0,0,4,7,0,0,36,
2006,1110103000,21,0,0,8,1,0,0,3600,
2006,1110103000,22,0,0,7,6,0,0,1236,
2006,1110109000,28,0,0,15,14,3000,4000,4800,
2006,1110108000,29,0,0,12,11,0,0,4000,
2006,1110110000,30,0,0,13,12,0,0,4000,
2006,1110106000,24,0,0,9,8,0,0,6000,
2006,1110106000,25,0,0,9,8,0,0,240,
2006,1110102000,42,0,0,23,22,0,0,4,
2006,1110104000,16,0,0,2,2,0,0,165000,
2007,1110105000,27,0,0,19,18,0,0,16,
2007,1110105000,27,0,0,15,14,0,0,4500,
2007,1110105000,27,0,0,18,17,0,0,20,
2007,1110105000,27,0,0,20,19,0,0,10,
2007,1110105000,27,0,0,22,21,0,0,80,
2007,1110105000,27,0,0,21,20,0,0,20,
2007,1110103000,18,0,0,5,5,0,0,115,
2007,1110103000,19,0,0,3,4,0,0,400,
2007,1110103000,20,0,0,4,7,0,0,36,
2007,1110103000,21,0,0,8,1,0,0,3600,
2007,1110103000,22,0,0,7,6,0,0,1236,
2007,1110109000,28,0,0,15,14,3000,4800,4800,
2007,1110108000,29,0,0,12,11,0,0,4000,
2007,1110110000,30,0,0,13,12,0,0,4000,
2007,1110106000,24,0,0,9,8,0,0,6000,
2007,1110106000,25,0,0,9,8,0,0,240,
2007,1110102000,42,0,0,23,22,0,0,4,
2007,1110104000,16,0,0,2,2,0,0,200000,
2007,1110102000,45,0,0,18,17,0,0,24,
2007,1110102000,45,0,0,15,14,0,0,6000,
2007,1110102000,45,0,0,19,18,0,0,24,
2007,1110102000,45,0,0,20,19,0,0,4,
2007,1110102000,45,0,0,21,20,0,0,12,
2007,1110102000,45,0,0,24,23,0,0,12,
2007,1110104000,17,0,0,12,11,0,0,6000,
2006,1110104000,17,0,0,11,9,0,0,6000,
2007,1110109000,46,0,0,24,23,0,0,24,
2008,1110105000,27,0,0,19,18,0,0,26,
2008,1110105000,27,0,0,15,14,0,0,15000,
2008,1110105000,27,0,0,18,17,0,0,30,
2008,1110105000,27,0,0,20,19,0,0,14,
2008,1110105000,27,0,0,22,21,0,0,85,
2008,1110105000,27,0,0,21,20,0,0,26,
2008,1110103000,18,0,0,5,5,0,0,20,
2008,1110103000,19,0,0,3,4,0,0,600,
2008,1110103000,20,0,0,4,7,0,0,400,
2008,1110103000,21,0,0,8,1,0,0,3600,
2008,1110103000,22,0,0,7,6,0,0,1000,
2008,1110109000,28,0,0,15,14,3000,4800,4800,
2008,1110108000,29,0,0,12,11,0,0,4000,
2008,1110110000,30,0,0,13,12,0,0,4500,
2008,1110106000,24,0,0,9,8,0,0,6000,
2008,1110106000,25,0,0,9,8,0,0,240,
2008,1110105000,27,0,0,26,25,0,0,45,
2008,1110104000,16,0,0,2,2,0,0,300000,
2008,1110105000,27,0,0,27,10,0,0,500,
2008,1110105000,27,0,0,28,10,0,0,1000,
2008,1110105000,27,0,0,9,8,0,0,100,
2008,1110105000,27,0,0,13,12,0,0,400,
2008,1110113000,43,0,0,23,22,0,0,12,
2008,1110104000,17,0,0,12,11,0,0,10000,
2008,1110109000,46,0,0,24,23,0,0,24,
2008,1110113000,42,0,0,25,24,0,0,400,
2009,1110105000,27,0,0,19,18,0,0,26,
2009,1110105000,27,0,0,15,14,0,0,8000,
2009,1110105000,27,0,0,18,17,0,0,30,
2009,1110105000,27,0,0,20,19,0,0,14,
2009,1110105000,27,0,0,22,21,0,0,85,
2009,1110105000,27,0,0,21,20,0,0,26,
2009,1110103000,18,0,0,5,5,0,0,20,
2009,1110103000,19,0,0,3,4,0,0,700,
2009,1110103000,20,0,0,4,7,0,0,400,
2009,1110103000,21,0,0,8,1,0,0,3600,
2009,1110103000,22,0,0,7,6,0,0,1000,
2009,1110109000,28,0,0,15,14,3000,4800,4800,
2009,1110108000,29,0,0,12,11,0,0,4000,
2009,1110110000,30,0,0,13,12,0,0,4500,
2009,1110106000,24,0,0,9,8,0,0,6000,
2009,1110106000,25,0,0,9,8,0,0,320,
2009,1110105000,27,0,0,26,25,0,0,45,
2009,1110104000,16,0,0,2,2,0,0,360000,
2009,1110105000,27,0,0,27,10,0,0,200,
2009,1110105000,27,0,0,28,10,0,0,1000,
2009,1110105000,27,0,0,9,8,0,0,100,
2009,1110108000,45,0,0,29,26,0,0,720,
2009,1110113000,43,0,0,23,22,0,0,12,
2009,1110104000,17,0,0,12,11,0,0,10000,
2009,1110109000,46,0,0,24,23,0,0,30,
2009,1110113000,42,0,0,25,24,0,0,400,
2010,1110105000,27,0,0,19,18,26,26,26,
2010,1110105000,27,0,0,15,14,8000,8000,8000,
2010,1110105000,27,0,0,18,17,30,30,30,
2010,1110105000,27,0,0,20,19,14,14,14,
2010,1110105000,27,0,0,22,21,85,85,85,
2010,1110105000,27,0,0,21,20,26,26,26,
2010,1110103000,18,0,0,5,5,20,20,40,
2010,1110103000,19,0,0,3,4,700,700,740,
2010,1110103000,20,0,0,4,7,400,400,400,
2010,1110103000,21,0,0,8,1,3600,3600,3600,
2010,1110103000,22,0,0,7,6,1000,1000,1000,
2010,1110109000,28,0,0,15,14,3000,4800,4800,
2010,1110108000,29,0,0,12,11,0,0,4000,
2010,1110110000,30,0,0,13,12,0,0,4500,
2010,1110106000,24,0,0,9,8,6000,6000,12000,
2010,1110106000,25,0,0,9,8,320,320,320,
2010,1110105000,27,0,0,26,25,45,45,45,
2010,1110104000,16,0,0,2,2,360000,360000,360000,
2010,1110105000,27,0,0,27,10,200,200,200,
2010,1110105000,27,0,0,28,10,1000,1000,1000,
2010,1110105000,27,0,0,9,8,100,100,100,
2010,1110113000,31,0,0,31,28,0,0,40,
2010,1110113000,43,0,0,23,22,12,12,12,
2010,1110104000,17,0,0,12,11,10000,10000,10000,
2010,1110109000,46,0,0,24,23,0,0,30,
2010,1110113000,42,0,0,25,24,400,400,400,
2010,1110102000,33,0,0,13,12,1000,1000,1000,
2010,1110103000,45,0,0,29,26,720,720,720,
2010,1110103000,26,0,0,30,27,400000,400000,400000,
2010,1110113000,32,0,0,32,29,0,0,4000,
2010,1110112000,33,0,0,33,30,2000,2000,2000,
2011,1110105000,27,0,0,19,18,26,26,26,
2011,1110105000,27,0,0,15,14,8000,8000,8000,
2011,1110105000,27,0,0,18,17,30,30,30,
2011,1110105000,27,0,0,20,19,14,14,14,
2011,1110105000,27,0,0,22,21,85,85,85,
2011,1110105000,27,0,0,21,20,26,26,26,
2011,1110103000,18,0,0,5,5,20,20,40,
2011,1110103000,19,0,0,3,4,700,700,740,
2011,1110103000,20,0,0,4,7,400,400,400,
2011,1110103000,21,0,0,8,1,3600,3600,3600,
2011,1110103000,22,0,0,7,6,1000,1000,1000,
2011,1110109000,28,0,0,15,14,3000,4800,4800,
2011,1110108000,29,0,0,13,12,0,0,4000,
2011,1110110000,30,0,0,13,12,0,0,5000,
2011,1110106000,24,0,0,9,8,6000,6000,12000,
2011,1110106000,25,0,0,9,8,320,320,320,
2011,1110105000,27,0,0,26,25,45,45,45,
2011,1110104000,16,0,0,2,2,360000,360000,360000,
2011,1110105000,27,0,0,27,10,200,200,200,
2011,1110105000,27,0,0,28,10,1000,1000,1000,
2011,1110105000,27,0,0,9,8,100,100,100,
2011,1110113000,31,0,0,31,28,0,0,40,
2011,1110113000,43,0,0,23,22,12,12,12,
2011,1110104000,17,0,0,12,11,10000,10000,10000,
2011,1110109000,46,0,0,24,23,0,0,30,
2011,1110113000,42,0,0,25,24,400,400,400,
2011,1110102000,33,0,0,13,12,1000,1000,1000,
2011,1110103000,45,0,0,29,26,720,720,720,
2011,1110103000,26,0,0,30,27,400000,400000,400000,
2011,1110113000,32,0,0,32,29,0,0,4000,
2011,1110112000,33,0,0,33,30,2000,2000,2000,
2011,1110106000,42,0,0,9,8,2000,2000,2000,
2011,1110104000,62,0,0,34,31,0,0,12,
2012,1110105000,27,0,0,19,18,26,26,26,
2012,1110105000,27,0,0,15,14,8000,8000,8000,
2012,1110105000,27,0,0,18,17,30,30,30,
2012,1110105000,27,0,0,20,19,14,14,14,
2012,1110105000,27,0,0,22,21,85,85,85,
2012,1110105000,27,0,0,21,20,26,26,26,
2012,1110103000,18,0,0,5,5,20,20,40,
