ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,FECHA_REGIS,DESCRIPCION1,DESCRIPCION2,DESCRIPCION3,DESCRIPCION4,DESCRIPCION5,DESCRIPCION6
2006,1110103000,20,0,0,2005-10-26 13:51:26,"SE PROVEE ESPACIO PARA LA INHUMACION, MANTENIMIENTO  DE LAS INSTALACIONES, CONSTRUCCION DE NUEVOS NICHOS Y SERVICIOS COMUNES.
CONSERVACION DE LOS ESPACIOS VERDES COMUNES, CONTROL DE PLAGAS Y REDUCCIONES.
",,,,,
2006,1110103000,21,0,0,2005-10-26 13:52:20,"REALIZAMOS LA RECOLECCION Y DISPOSICION FINAL DE RESIDUOS SOLIDOS URBANOS. SE REALIZA LA RECOLECCION DE RESIDUOS NO DOMICILIARIOS COMO TIERRA, RAMAS, ESCOMBROS, ETC.",,,,,
2006,1110103000,22,0,0,2005-10-26 13:53:01,REALIZAMOS EL BARRIOD MANUAL DE LAS CALLES PAVIMENTADAS Y ESPACIOS PUBLICOS COMUNITARIOS.,,,,,
2006,1110109000,28,0,0,2005-10-26 19:41:43,"MEDIANTE LA PROMOCION DEL DEPORTE LOGRAMOS MEJORAR LA FORMACION EDUCATIVA Y CULTURAL DE LOS INDIVIDUOS INDEPENDIENTEMENTE DE LAS CONNOTACIONES O RESULTADOS DEPORTIVOS.
CENTRAMOS NUESTRO TRABAJO UTILIZANDO EL DEPORTE COMO HERRAMIENTA EDUCATIVA EN LA EDUCACION DEL INDIVIDUO Y COMO ELEMENTO DE INTEGRACION SOCIAL Y MEJORAMIENTO DE LA SOCIEDAD EN SU CONJUNTO.
",,,,,
2006,1110106000,24,0,0,2005-10-28 19:30:43,"ASISTIMOS A LAS FAMILIAS POR DEBAJO DE LA LINEA DE LA POBREZA.
BRINDAMOS ASISTENCIA ALIMENTARIA, EN SALUD, TRANSPORTE Y MEJORAMIENTO DE VIVIENDAS PRECARIAS.
REALIZAMOS TRAMITES ANTE LOS ORGANISMOS CORRESPONDIENTES A FIN DE FACILITAR EL ACCESO A BENEFICIOS SOCIALES DE LA POBLACION.
TRABAJAMOS EN COORDINACION CON LA JUSTICIA EN MATERIA DE VIOLENCIA FAMILIAR Y CHICOS DE LA CALLE.",,,,,
2006,1110106000,25,0,0,2005-10-28 19:32:37,"RECEPCIONA NIÑOS QUE NO CONCURREN A ESTABLECIMIENTOS PREESCOLARES BRINDANDO ATENCION Y DANDO PRIORIDAD A LAS FAMILIAS CUYOS PADRES TRABAJAN Y QUE NO CUENTAN CON POSIBILIDADES DE HACER FRENTE A SERVICIOS PRIVADOS.
BRINDAMOS ATENCION A LA NIÑEZ EN UN MARCO LUDICO-EDUCATIVO.",,,,,
2006,1110102000,42,0,0,2005-10-29 10:49:33,"SERVICIO DE APOYO PARA OPTIMIZAR EL FUNCIONAMIENTO DE LOS SERVICIOS DE SEGURIDAD EN NUESTRO DISTRITO.
REPARACION DE MOVILES, PROVISION DE COMBUSTIBLES Y LUBRICANTES Y DEMAS ELEMENTOS E INSUMOS PARA EL FUNCIONAMIENTO DE LA POLICIA COMUNAL.",,,,,
2006,1110104000,16,0,0,2005-10-29 11:44:29,"SE BRINDA ATENCION A LA SALUD DE LA POBLACION TANTO PRIMARIA DESDE LOS CENTROS DE ATENCION PRIMARIA DE LA SALUD EN LOS BARRIOS COMO DESDE EL HOSPITAL EN LOS CASOS MAS COMPLEJOS O DE INTERNACION 
SE REALIZAN CAMPAÑAS DE PREVENCION Y EDUCACION EN MATERIA DE SALUD PARA LA POBLACION",,,,,
2006,1110104000,17,0,0,2005-10-29 11:48:55,"REALIZAMOS CONTROLES DEL ESTADO SANITARIO DE ALIMENTOS PARA CONSUMOS EN COMERCIOS, PROVEEDORES Y OPLANTAS FIRGORÍFICAS
INSCRIPCION DE PROUCTOS ALIMENTICIOS DE FABRICAS LOCALES EN EL ORDEN PROIVINCIAL Y NACIONAL
VIGILANCIA DE ZOONOZIS EN GENERAL , CONTROL ANTIRRABICO, CONTROL DE PERROS CALLEJEROS Y/O PERJUDICIALES, DIFUSION Y EDUCACION PARA LA SALUD EN PLAGAS, LABORATORIO DE ANALISIS DE TRIQUINOSIS PARA CONTROL DE PRODUCTOS CARNEOS EN EL PARTIDO ",,,,,
2007,1110108000,29,0,0,2006-10-04 08:32:42,"ESTIMULO PARA EL DESARROLLO, LA PRODUCCION Y EL EMPLEO.
DEFENSA DE LOS DERECHOS DE LOS CONSUMIDORES Y USUARIOS.
CAPACITACION LABORAL Y EMPRESARIAL PARA NUESTRA COMUNIDAD.",,,,,
