EJERCICIO,TIPO,NRO_COMPROB,COD_PROV,NRO_REG_COMP,FECH_MOVIM,FECH_COMPROB,FECH_VENCIM,FECH_CONFORMAC,PORC_BONIF,FECH_BONIF,IMPORTE_COMPR,IMPORTE_PAGADO,RINDE_IVA,PORC_IVA,PORC_CRED_FISCAL,LIST_LIBRO_IVA,FECH_LIST_IVA,COD_PROV_REAL,RAZON_SOCIAL,CUIT,DETALLE,IMPORTE_SIN_IVA
2026,FAC,0002-00000222,685,1129,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,1275000.0,1275000.0,N,21.0,0.0,0,,,,  -        -,,1275000.0
2026,FAB,0003-00003646,2973,193,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,268300.0,268300.0,N,21.0,0.0,0,,,,  -        -,,221735.53
2026,FAC,0001-00000033,3441,1162,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,180000.0,180000.0,N,21.0,0.0,0,,,,  -        -,,180000.0
2026,FAC,0003-00000197,635,1053,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,140000.0,140000.0,N,21.0,0.0,0,,,,  -        -,,140000.0
2026,FAB,0006-00000398,2770,1096,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,1751500.0,1751500.0,N,21.0,0.0,0,,,,  -        -,,1447520.66
2026,COM,2026-58026000,50072,1036,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,279824.17,279824.17,N,21.0,0.0,0,,,,  -        -,,279824.17
2026,COM,0000-00000001,51021,1037,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,344674.64,344674.64,N,21.0,0.0,0,,,,  -        -,,344674.64
2026,FAB,0022-00014436,313,231,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,1152683.64,1152683.64,N,21.0,0.0,0,,,,  -        -,,952631.1
2026,FAB,0022-00014433,313,231,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,639924.01,639924.01,N,21.0,0.0,0,,,,  -        -,,528862.81
2026,FAB,0022-00014435,313,231,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,915098.33,915098.33,N,21.0,0.0,0,,,,  -        -,,756279.61
2026,FAB,0022-00014434,313,231,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,883475.95,883475.95,N,21.0,0.0,0,,,,  -        -,,730145.41
2026,FAC,0002-00000585,1063,258,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,1120000.0,1120000.0,N,21.0,0.0,0,,,,  -        -,,1120000.0
