CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2010
5,"Sindicato
",O,,0.0,SIND,74009,2010
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2010
10,"APORTE PJ
",O,,0.0,PJ,74012,2010
11,"APORTE UCR
",O,,0.0,UCR,74011,2010
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2010
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2010
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2010
16,"F.O.S.
",O,,0.0,FOS,74013,2010
17,"PROCASA

",O,,0.0,PROC,74017,2010
18,"BANCO NACION
",O,,0.0,NACIO,74018,2010
20,"ATE
",O,,0.0,ATE,74019,2010
19,"UPCN
",O,,0.0,UPCN,74020,2010
21,REINTEGROS,O,,0.0,REIN,74021,2010
22,OSDE,O,,0.0,OSDE,74022,2010
784,SUSS,I,2.0,0.0,SUSS.,74023,2010
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2010
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2010
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2010
888,Tasa Municipal,I,,,TMUNI,74888,2009
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2011
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2011
7,Embargos,O,,0.0,EMBA,74003,2011
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2011
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2011
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2011
4,Garantia,O,,0.0,GARAN,71001,2011
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2011
5,"Sindicato
",O,,0.0,SIND,74009,2011
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2011
10,"APORTE PJ
",O,,0.0,PJ,74012,2011
11,"APORTE UCR
",O,,0.0,UCR,74011,2011
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2011
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2011
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2011
16,"F.O.S.
",O,,0.0,FOS,74013,2011
17,"PROCASA

",O,,0.0,PROC,74017,2011
18,"BANCO NACION
",O,,0.0,NACIO,74018,2011
20,"ATE
",O,,0.0,ATE,74019,2011
19,"UPCN
",O,,0.0,UPCN,74020,2011
21,REINTEGROS,O,,0.0,REIN,74021,2011
22,OSDE,O,,0.0,OSDE,74022,2011
784,SUSS,I,2.0,0.0,SUSS.,74023,2011
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2011
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2011
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2011
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2012
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2012
7,Embargos,O,,0.0,EMBA,74003,2012
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2012
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2012
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2012
4,Garantia,O,,0.0,GARAN,71001,2012
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2012
5,"Sindicato
",O,,0.0,SIND,74009,2012
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2012
10,"APORTE PJ
",O,,0.0,PJ,74012,2012
11,"APORTE UCR
",O,,0.0,UCR,74011,2012
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2012
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2012
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2012
16,"F.O.S.
",O,,0.0,FOS,74013,2012
17,"PROCASA

",O,,0.0,PROC,74017,2012
18,"BANCO NACION
",O,,0.0,NACIO,74018,2012
20,"ATE
",O,,0.0,ATE,74019,2012
