ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2021,1110103000,51,69,0,N,Salon de Usos Multiples Escuela Primaria N° 2,S.U.M. E.P. N° 2,3,0.0,0.0,0.0,,3,4,1,400000.0,0.0,2911157.34,0.0,2911147.41,0.0,,
2025,1110113000,32,0,0,N,Ordenamiento y Control de la Circulacion en la via publica,Ord. Via Publica,20,0.0,0.0,0.0,,2,1,0,112203941.0,0.0,580120.29,0.0,307106039.82,0.0,,
2021,1110103000,51,66,0,N,Mejorado/Adoquinado/Pavimentacion de Calles,Mejoramiento de Calles,3,0.0,0.0,0.0,,3,9,1,5000000.0,0.0,905879.32,0.0,1370800.56,0.0,,
2021,1110103000,51,65,0,N,Reparacion Integral Deposito Desarrollo Social-H.C.D.,REFACCION HCD-DEPOSITO,3,0.0,0.0,0.0,,3,2,0,700000.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110117000,36,0,0,N,OMIC y Defensa a la Victima,OMIC,24,0.0,0.0,0.0,,1,1,0,5100273.0,0.0,195614.43,0.0,1861181.07,0.0,,
2025,1110102000,33,0,0,N,Promocion de la Juventud,Promocion de la Juventud,2,0.0,0.0,0.0,,3,4,3,60894825.0,0.0,38865383.2,0.0,129351655.58,0.0,,
2021,1110109000,48,0,0,N,Programa Nuestros Chicos,Prog. Nuestros Chicos,13,0.0,0.0,0.0,,3,4,6,508000.0,0.0,1176153.83,0.0,821128.01,0.0,,
2025,1110106000,42,0,0,N,Fortalecimiento Programas Sociales,Fortal. Prog. Sociales,7,0.0,0.0,0.0,,3,2,0,45000000.0,0.0,121193982.0,0.0,122443981.01,0.0,,
2021,1110106000,45,0,0,N,Operadores Barriales,Operadores Barriales,7,0.0,0.0,0.0,,3,2,0,270000.0,0.0,659793.44,0.0,659793.27,0.0,,
2021,1110106000,46,0,0,N,Proteccion Derechos de niños/as Adolescentes,Derechos Niños y Adolesce,7,0.0,0.0,0.0,,3,2,0,1700000.0,0.0,3154097.63,0.0,3154093.59,0.0,,
2021,1110200000,1,0,0,N,Legislación Municipal,Legislación Municipal,8,0.0,0.0,0.0,,1,1,0,17981895.0,0.0,648339.8,0.0,17611284.71,0.0,,
2021,1110101000,1,0,0,N,Fijación de Objetivos de Política Gubernamental,Política Gubernamental,1,0.0,0.0,0.0,,1,3,0,10384085.01,0.0,7771099.96,0.0,14643165.8,0.0,,
2021,1110104000,16,0,0,N,Atención Médica Primaria y Asistencial,Hospital,5,0.0,0.0,0.0,,3,1,0,446238832.77,0.0,199878395.73,0.0,667228258.18,0.0,,
2021,1110104000,17,0,0,N,Servicios de Control Bromatológico y zoonosis,Bromatologia,11,0.0,0.0,0.0,,3,1,0,14254890.0,0.0,3491924.87,0.0,15704014.42,0.0,,
