COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
214,IVA,RESPO,1.0
215,IVA,RESPO,1.0
216,GANAN,VTABI,1.0
215,GANAN,VTABI,1.0
216,IVA,EXENT,1.0
50218,SUSS,EXENT,1.0
829,SUSS,EXENT,1.0
830,GANAN,VTABI,1.0
830,IVA,RESPO,1.0
830,SUSS,APATR,1.0
50219,GANAN,EXENT,1.0
50219,INGBR,EXENT,1.0
50219,IVA,EXENT,1.0
50219,SUSS,EXENT,1.0
1180,INGBR,A122R,1.0
1181,INGBR,A122R,1.0
1182,INGBR,A122R,1.0
1183,INGBR,A122R,1.0
1184,INGBR,A122R,1.0
1185,INGBR,A122R,1.0
1186,INGBR,A122R,1.0
1187,INGBR,A122R,1.0
1188,INGBR,A122R,1.0
1189,INGBR,A122R,1.0
1190,INGBR,A122R,1.0
1191,INGBR,A122R,1.0
1192,INGBR,A122R,1.0
1193,INGBR,A122R,1.0
1194,INGBR,A122R,1.0
1195,INGBR,A122R,1.0
1196,INGBR,A122R,1.0
1197,INGBR,A122R,1.0
1198,INGBR,A122R,1.0
1199,INGBR,A122R,1.0
1200,INGBR,A122R,1.0
1201,INGBR,A122R,1.0
1202,INGBR,A122R,1.0
1203,INGBR,A122R,1.0
1204,INGBR,A122R,1.0
1205,INGBR,A122R,1.0
1206,INGBR,A122R,1.0
1207,INGBR,A122R,1.0
1208,INGBR,A122R,1.0
1209,INGBR,A122R,1.0
1210,INGBR,A122R,1.0
1211,INGBR,A122R,1.0
1212,INGBR,A122R,1.0
1213,INGBR,A122R,1.0
1214,INGBR,A122R,1.0
1215,INGBR,A122R,1.0
1216,INGBR,A122R,1.0
1217,INGBR,A122R,1.0
1218,INGBR,A122R,1.0
1219,INGBR,A122R,1.0
1220,INGBR,A122R,1.0
1221,INGBR,A122R,1.0
1222,INGBR,A122R,1.0
1223,INGBR,A122R,1.0
1224,INGBR,A122R,1.0
1225,INGBR,A122R,1.0
1226,INGBR,A122R,1.0
1227,INGBR,A122R,1.0
1228,INGBR,A122R,1.0
1229,INGBR,A122R,1.0
1230,INGBR,A122R,1.0
1231,INGBR,A122R,1.0
1232,INGBR,A122R,1.0
1233,INGBR,A122R,1.0
1234,INGBR,A122R,1.0
1235,INGBR,A122R,1.0
1236,INGBR,A122R,1.0
1237,INGBR,A122R,1.0
1238,INGBR,A122R,1.0
217,GANAN,VTABI,1.0
217,IVA,RESPO,1.0
218,GANAN,VTABI,1.0
218,IVA,RESPO,1.0
220,GANAN,SERVI,1.0
220,IVA,EXENT,1.0
221,GANAN,VTABI,1.0
221,IVA,RESPO,1.0
222,GANAN,VTABI,1.0
222,IVA,RESPO,1.0
223,GANAN,EXENT,1.0
223,IVA,EXENT,1.0
224,GANAN,VTABI,1.0
224,IVA,RESPO,1.0
225,GANAN,VTABI,1.0
225,IVA,RESPO,1.0
50076,GANAN,SERVI,1.0
37,GANAN,EXENT,1.0
1240,INGBR,A122R,1.0
228,GANAN,VTABI,1.0
228,IVA,RESPO,1.0
50077,GANAN,EXENT,1.0
50077,INGBR,EXENT,1.0
50077,IVA,EXENT,1.0
50078,GANAN,EXENT,1.0
50078,INGBR,EXENT,1.0
50078,IVA,EXENT,1.0
230,GANAN,SERVI,1.0
230,IVA,RESPO,1.0
232,GANAN,VTABI,1.0
232,IVA,RESPO,1.0
233,GANAN,VTABI,1.0
233,IVA,RESPO,1.0
50079,GANAN,EXENT,1.0
50079,INGBR,EXENT,1.0
50079,IVA,EXENT,1.0
234,GANAN,VTABI,1.0
234,IVA,RESPO,1.0
235,GANAN,VTABI,1.0
235,IVA,RESPO,1.0
236,GANAN,VTABI,1.0
236,IVA,RESPO,1.0
50080,GANAN,EXENT,1.0
237,GANAN,VTABI,1.0
237,IVA,RESPO,1.0
239,GANAN,SERVI,1.0
