EJERCICIO,COD_INGRESO,ORDEN,PORCENTAJE,TIPO_INGRESO,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,CODIGO_AXT,JURISDICCION,CUENTA
2008,59,1,100.0,P,12,2,11,0,,1110112000,111210101
2008,98,2,45.0,E,,,,,71012,,111221000
2008,60,1,100.0,P,12,2,5,0,,1110112000,111210101
2008,61,1,100.0,P,12,1,17,1,,1110112000,111210107
2008,62,1,100.0,P,12,2,5,0,,1110112000,111210101
2008,64,1,100.0,P,12,1,5,1,,1110112000,111210101
2008,65,1,100.0,P,12,1,19,1,,1110112000,111220100
2008,63,1,100.0,P,12,6,1,0,,1110112000,111210101
2008,66,1,50.0,P,12,6,1,0,,1110112000,111210101
2008,66,2,50.0,E,,,,,71008,,111210111
2008,67,1,100.0,E,,,,,71005,,111210111
2008,68,1,100.0,P,12,1,4,0,,1110112000,111210101
2008,69,1,100.0,P,12,9,2,0,,1110112000,111210101
2008,70,1,100.0,P,11,4,2,0,,1110112000,111210101
2008,71,1,100.0,P,12,1,17,3,,1110112000,111210101
2008,72,1,100.0,E,,,,,74018,,111210124
2008,2,1,100.0,P,12,2,10,1,,1110112000,111210101
2008,73,1,100.0,P,12,2,5,0,,1110112000,111210101
2008,74,1,100.0,P,12,1,2,0,,1110112000,111210101
2008,75,1,100.0,P,12,1,18,0,,1110112000,111210101
2008,76,1,100.0,E,,,,,71999,,111210101
2008,77,1,100.0,P,12,1,14,0,,1110112000,111210101
2008,78,1,100.0,P,12,9,2,0,,1110112000,111210101
2008,79,1,100.0,P,12,2,5,0,,1110112000,111210101
2008,92,1,100.0,P,11,4,4,0,,1110112000,111210101
2008,85,1,100.0,P,17,5,1,2,,1110112000,111210101
2008,91,1,100.0,P,11,4,5,0,,1110112000,111210113
2009,213,1,100.0,P,11,4,1,0,,1110112000,111210113
2009,214,1,100.0,P,11,4,3,1,,1110112000,111210114
2009,215,1,100.0,P,11,4,3,4,,1110112000,111210115
2009,217,1,100.0,P,17,5,1,4,,1110112000,111220100
2009,218,1,100.0,P,11,4,3,2,,1110112000,111220400
2009,219,1,100.0,P,11,9,1,0,,1110112000,111210113
2009,221,1,100.0,P,17,5,1,8,,1110112000,111220100
2009,222,1,100.0,P,17,5,1,5,,1110112000,111220100
2009,223,1,100.0,P,17,5,1,13,,1110112000,111220100
2009,227,1,100.0,P,17,5,1,11,,1110112000,111220100
2009,228,1,100.0,P,17,5,1,12,,1110112000,111220100
2009,224,1,100.0,P,17,5,1,14,,1110112000,111220700
2009,230,1,100.0,P,17,5,1,15,,1110112000,111220100
2009,231,1,100.0,P,17,5,1,6,,1110112000,111220100
2009,98,1,55.0,P,12,2,3,0,,1110112000,111210124
2009,32,1,100.0,P,17,5,1,16,,1110112000,111220100
2009,33,1,50.0,P,12,6,1,0,,1110112000,111210101
2009,33,2,10.0,E,,,,,71005,,111210111
2009,33,3,20.0,E,,,,,71006,,111210111
2009,33,4,5.0,E,,,,,71008,,111210111
2009,33,5,15.0,E,,,,,71007,,111210111
2009,34,1,100.0,P,12,6,1,0,,1110112000,111210101
2009,96,3,80.0,P,12,6,5,0,,1110112000,111210101
2009,95,1,100.0,P,12,6,5,0,,1110112000,111210112
2009,90,1,100.0,E,,,,,71999,,111210122
2009,89,1,100.0,P,17,5,1,18,,1110112000,111220100
2009,93,1,100.0,P,37,5,2,1,,1110112000,111210113
2009,15,1,100.0,P,12,2,10,3,,1110112000,111210123
2009,35,1,100.0,P,17,5,1,19,,1110112000,111220100
2009,36,1,100.0,P,17,5,1,8,,1110112000,111220100
2009,37,1,80.0,P,12,1,6,0,,1110112000,111210124
2009,38,1,100.0,P,12,1,6,0,,1110112000,111210124
2009,96,2,20.0,E,,,,,71011,,111210112
2009,39,1,100.0,P,12,1,23,0,,1110112000,111210101
2009,40,1,100.0,P,12,2,3,0,,1110112000,111210101
2009,41,1,100.0,P,12,2,2,0,,1110114000,111210101
2009,43,1,100.0,P,12,1,19,2,,1110112000,111210101
2009,42,1,100.0,P,17,5,1,1,,1110112000,111210101
2009,44,1,100.0,P,12,9,3,0,,1110112000,111210101
2009,45,1,100.0,P,12,1,9,0,,1110112000,111210101
2009,46,1,100.0,P,12,9,2,0,,1110112000,111210101
