CODIGO,JURISDICCION,DESCRIPCION,PADRE,SELECCIONABLE
DIR,1110104000,DIRECCION ADMINISTRATIVA,,S
SASER,1110104000,SALA SERVIDORES,,S
ARCH,1110104000,ARCHIVO,,S
SVAC,1110104000,SALA VACUNACION,,S
HEMO,1110104000,HEMOTERAPIA,,S
QUI,1110104000,QUIROFANO,,S
SALA O,1110104000,SALA DE ONCOLOGIA,,S
DESPO,1110113000,DESTACAMENTO POLICIAL ENTRADA,,S
CADOC,1110104000,CASA DE MEDICOS,,S
TRIA,1110104000,TRIAGGE,,S
OENF,1110104000,OFFICE DE ENFERMERIA,,S
CARD,1110104000,CARDIOLOGIA,,S
107,1110104000,CENTRO DE ATENCION 107,,S
TRACAR,1110102000,TRANSITO CARNET,,S
CN4,1110104000,CONSULTORIOS NUEVOS SALA 4,,S
SACA,1110104000,SALA DE CAMARAS,,S
OEST,1110104000,OFICINA ESTADISTICAS,,S
OSA,1110104000,OFICINA DE SAMO,,S
TOMO,1110104000,SALA DE TOMOGRAFO,,S
SEC,1110101000,Secretaria Privada,,S
INT,1110101000,Intendente,,S
COMP,1110102000,Compras,,S
TES,1110102000,Tesoreria,,S
CONT,1110102000,Contaduria,,S
DESP,1110102000,Despacho,,S
GUIA,1110101000,DEPARTAMENTO DE GUIAS,,S
INSP,1110102000,Inspección General,,S
REC,1110101000,DEPARTAMENTO RECAUDACION,,S
SECPRO,1110108000,SECRETARIA DE PRODUCCION,,S
CEMEN,1110103000,Cementerio,,S
OPP,1110103000,Obras Publicas y Particulares,,S
MAYOR,1110102000,Mayordomia,,S
CATAST,1110103000,Catastro,,S
CASER,1110103000,Comision Administradora de Servicios Rurales,,S
MANT,1110103000,Mantenimiento,,S
SECOP,1110103000,Conducc. y Adm. de Sec. de Obras y Serv. Publicos,,S
ALUM,1110103000,Alumbrado Público,,S
BARRI,1110103000,Barrido,,S
BROM,1110104000,Bromatologia,,S
HOSP,1110104000,Hospital,,S
HOGANC,1110104000,Hogar de Ancianos,,S
ADMI,1110104000,Administración,,S
DELEG,1110101000,DELEGACION MUNICIPAL,,S
SEOP,1110111000,Secretario de Obras y Servicios Publicos,,S
TUR,1110110000,Dirección de Turismo,,S
CULTUR,1110105000,Cultura,,S
BA,1110105000,Escuela de Bellas Artes,,S
CASA,1110105000,Casa de la Cultra,,S
MUSEO,1110105000,Museo,,S
GIMNAS,1110105000,Gimnasio,,S
ESTAD,1110105000,Estadio Municipal,,S
JARD,1110106000,Jardin Maternal,,S
ACCSOC,1110106000,Accion Social,,S
