EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1765,2026-03-06 00:00:00,GMADA,1110109000,13,2330,R,1765,110,,,,,,,,642305.45,D,S,2026-03-06 00:00:00,,,1,Reg.Comp. 10172/2025 COMBUST,2026-03-06 00:00:00,N,DEP,2026-03-06 00:00:00,N,,,N
2026,1767,2026-03-06 00:00:00,GMADA,1110104000,5,2330,R,1767,131,,,,,,,,76139.37,D,S,2026-03-06 00:00:00,,,2,Reg.Comp. 10171/2025 COMBUST,2026-03-06 00:00:00,N,HOSP,2026-03-06 00:00:00,N,,,N
2026,1854,2026-03-11 00:00:00,GMADA,1110102000,2,2643,R,1854,110,1,983,1,1056,,,,172800.0,D,S,2026-03-11 00:00:00,,,1,pasajes,2026-03-11 00:00:00,N,GOBHAC,2026-03-11 00:00:00,N,2026,,N
2026,1857,2026-03-11 00:00:00,GMADA,1110104000,5,2627,R,1857,131,1,978,1,1035,,,,13400.0,A,S,2026-03-11 00:00:00,2026-03-13 00:00:00,ERROR,1,pastas,2026-03-11 00:00:00,N,HOGANC,2026-03-11 00:00:00,N,2026,,N
2026,1858,2026-03-11 00:00:00,GMADA,1110104000,5,1810,R,1858,131,1,976,1,1036,,,,140000.0,D,S,2026-03-11 00:00:00,,,1,mant y rep equipo,2026-03-11 00:00:00,N,BANOR,2026-03-11 00:00:00,N,2026,,N
2026,1859,2026-03-11 00:00:00,GMADA,1110104000,5,2216,R,1859,131,1,964,1,1027,,,,2847000.0,A,S,2026-03-11 00:00:00,2026-03-17 00:00:00,ERROR,1,rep aire,2026-03-11 00:00:00,N,HOSP,2026-03-11 00:00:00,N,2026,,N
2026,1860,2026-03-11 00:00:00,GMADA,1110104000,5,3322,R,1860,131,1,965,1,1028,,,,830283.53,D,S,2026-03-11 00:00:00,,,1,art limp,2026-03-11 00:00:00,N,COC,2026-03-11 00:00:00,N,2026,,N
2026,1861,2026-03-11 00:00:00,GMADA,1110104000,5,2209,R,1861,131,1,966,1,1030,,,,1747360.48,N,S,2026-03-11 00:00:00,,,1,alimentos,2026-03-11 00:00:00,N,HOSP,,N,2026,,N
2026,1862,2026-03-11 00:00:00,GMADA,1110104000,5,2209,R,1862,131,1,967,1,1031,,,,1083309.96,N,S,2026-03-11 00:00:00,,,1,alimentos,2026-03-11 00:00:00,N,COC,2026-03-11 00:00:00,N,2026,,N
2026,1863,2026-03-11 00:00:00,GMADA,1110104000,5,3322,R,1863,131,1,971,1,1033,,,,774226.24,D,S,2026-03-11 00:00:00,,,1,elementos de limpieza,2026-03-11 00:00:00,N,LAV,,N,2026,,N
2026,1864,2026-03-11 00:00:00,GMADA,1110104000,5,3322,R,1864,131,1,968,1,1032,,,,848920.81,D,S,2026-03-11 00:00:00,,,1,elementos de limp,2026-03-11 00:00:00,N,LAV,,N,2026,,N
2026,1865,2026-03-11 00:00:00,GMADA,1110104000,5,441,R,1865,131,1,969,1,1034,,,,90778.92,N,S,2026-03-11 00:00:00,,,1,arts papel,2026-03-11 00:00:00,N,HOSP,2026-03-11 00:00:00,N,2026,,N
2026,1867,2026-03-11 00:00:00,GMADA,1110104000,5,441,R,1867,131,1,972,1,1038,,,,38298.5,N,S,2026-03-11 00:00:00,,,1,prod de papel,2026-03-11 00:00:00,N,HOGANC,2026-03-11 00:00:00,N,2026,,N
2026,1869,2026-03-11 00:00:00,GMADA,1110104000,5,1259,R,1869,131,1,973,1,1037,,,,89083.4,D,S,2026-03-11 00:00:00,,,1,utiles,2026-03-11 00:00:00,N,INTER,2026-03-11 00:00:00,N,2026,,N
2026,1872,2026-03-11 00:00:00,GMADA,1110104000,5,2001,R,1872,131,1,962,1,1014,,,,654621.78,D,S,2026-03-11 00:00:00,,,1,prod farm,2026-03-11 00:00:00,N,HOSP,2026-03-11 00:00:00,N,2026,,N
