EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,664,2410,2026-02-18 00:00:00,,1,N
2026,665,3220,2026-02-18 00:00:00,,1,N
2026,666,879,2026-02-18 00:00:00,,1,N
2026,667,360,2026-02-18 00:00:00,,1,N
2026,668,164,2026-02-18 00:00:00,,1,N
2026,669,2110,2026-02-18 00:00:00,,1,N
2026,670,2110,2026-02-18 00:00:00,,1,N
2026,671,2110,2026-02-18 00:00:00,,1,N
2026,672,879,2026-02-18 00:00:00,,1,N
2026,673,879,2026-02-18 00:00:00,,1,N
2026,674,300,2026-02-18 00:00:00,,1,N
2026,678,300,2026-02-18 00:00:00,,1,N
2026,681,300,2026-02-18 00:00:00,,1,N
2026,689,2627,2026-02-18 00:00:00,,1,N
2026,692,2330,2026-02-18 00:00:00,,1,N
2026,695,850,2026-02-18 00:00:00,,1,N
2026,707,285,2026-02-18 00:00:00,,1,N
2026,711,2450,2026-02-18 00:00:00,,1,N
2026,713,2450,2026-02-18 00:00:00,,1,N
2026,714,3556,2026-02-18 00:00:00,,1,N
2026,715,2627,2026-02-18 00:00:00,,1,N
2026,716,2883,2026-02-18 00:00:00,,1,N
2026,717,1943,2026-02-18 00:00:00,,1,N
2026,718,1259,2026-02-18 00:00:00,,1,N
2026,719,300,2026-02-18 00:00:00,,1,N
2026,720,57,2026-02-18 00:00:00,,1,N
2026,721,879,2026-02-18 00:00:00,,1,N
2026,722,21,2026-02-18 00:00:00,,1,N
2026,723,300,2026-02-18 00:00:00,,1,N
2026,725,57,2026-02-19 00:00:00,,1,N
2026,726,527,2026-02-19 00:00:00,,1,N
2026,728,413,2026-02-19 00:00:00,,1,N
2026,730,285,2026-02-19 00:00:00,,1,N
2026,732,1810,2026-02-19 00:00:00,,1,N
2026,733,1810,2026-02-19 00:00:00,,1,N
2026,735,2595,2026-02-19 00:00:00,,1,N
2026,737,413,2026-02-19 00:00:00,,1,N
2026,742,3557,2026-02-20 00:00:00,,1,N
2026,745,169,2026-02-20 00:00:00,,1,N
2026,747,3169,2026-02-20 00:00:00,,1,N
2026,751,2593,2026-02-23 00:00:00,,1,N
2026,752,441,2026-02-23 00:00:00,,1,N
2026,753,2627,2026-02-23 00:00:00,,1,N
2026,754,186,2026-02-23 00:00:00,,1,N
2026,755,2846,2026-02-23 00:00:00,,1,N
2026,756,186,2026-02-23 00:00:00,,1,N
2026,758,186,2026-02-23 00:00:00,,1,N
2026,759,3322,2026-02-23 00:00:00,,1,N
2026,760,1259,2026-02-23 00:00:00,,1,N
2026,761,2846,2026-02-23 00:00:00,,1,N
2026,762,1169,2026-02-23 00:00:00,,1,N
2026,763,3552,2026-02-23 00:00:00,,1,N
2026,764,2110,2026-02-23 00:00:00,,1,N
2026,765,160,2026-02-23 00:00:00,,1,N
2026,766,3398,2026-02-23 00:00:00,,1,N
2026,767,3330,2026-02-23 00:00:00,,1,N
2026,768,3075,2026-02-23 00:00:00,,1,N
2026,769,169,2026-02-23 00:00:00,,1,N
2026,792,2110,2026-02-25 00:00:00,,1,N
2026,798,2110,2026-02-26 00:00:00,,1,N
2026,799,1259,2026-02-26 00:00:00,,1,N
